------------------------------------------------------------------------
-- (c) 2018 ENisco GmbH u. Co KG
--
--
--
-- SQL*Loader control file that describes how to load the data
-- into table
------------------------------------------------------------------------
LOAD DATA
INFILE *
DISCARDFILE mfc_point.dsc
REPLACE
INTO TABLE mfc_point
WHEN (coord != "#")
FIELDS TERMINATED BY ","
OPTIONALLY ENCLOSED BY '~'
(
coord,        -- VARCHAR2(32) NOT NULL
redirect_dest,        -- VARCHAR2(32)
rgid,        -- NUMBER(22)
whithinstore,        -- CHAR(1) DEFAULT 0
rotating_inc,        -- NUMBER(22) DEFAULT 0
flowname        -- VARCHAR2(128)
)
BEGINDATA
#,----------------------------------------------------------------------
#,
#,----------------------------------------------------------------------
#, coord    ,redirect_dest    ,rgid    ,whithinstore    ,rotating_inc    ,flowname
~F021-0050RB1~	,~~	,~~	,~0~	,~0~	,~TO REACHED NEXT POINT~
~F021-0060RB1~	,~~	,~~	,~0~	,~0~	,~TO REACHED NEXT POINT~
~F021-0100RB1~	,~~	,~~	,~0~	,~0~	,~NOP~
~F021-0200RB1~	,~~	,~~	,~0~	,~0~	,~TO REACHED CONTOUR CHECK~
~F021-0300RB1~	,~~	,~~	,~0~	,~0~	,~TO REACHED NEXT POINT~
~F021-0300VS1~	,~~	,~~	,~0~	,~0~	,~TO REACHED NEXT POINT~
~F021-0500RB1~	,~~	,~~	,~0~	,~0~	,~TO REACHED PVC LINE~
~F021-0600RB1~	,~~	,~~	,~0~	,~0~	,~TO LEFT SHUTTLE~
~F021-0700RB1~	,~~	,~~	,~0~	,~0~	,~TO REACHED TERMINAL~
~F021-0800RB1~	,~~	,~~	,~0~	,~0~	,~TO REACHED PVC ROBOT~
~F021-1000RB1~	,~~	,~~	,~0~	,~0~	,~NOP~
~F021-1050RB1~	,~~	,~~	,~0~	,~0~	,~NOP~
~F021-1100RB1~	,~~	,~~	,~0~	,~0~	,~NOP~
~F021-1200RB1~	,~~	,~~	,~0~	,~0~	,~TO REACHED TERMINAL~
~F021-1300RB1~	,~~	,~~	,~0~	,~0~	,~TO REACHED TERMINAL~
~F021-1400RB1~	,~~	,~~	,~0~	,~0~	,~TO REACHED END OF PVC~
~F021-1500RB1~	,~~	,~~	,~0~	,~0~	,~TO REACHED POINT NEXT TO SHUTTLE~
~F021-1600RB1~	,~~	,~~	,~0~	,~0~	,~TO REACHED/LEFT HBW EG~
~F021-1700RB1~	,~~	,~~	,~0~	,~0~	,~TO REACHED TERMINAL~
~F021-1800RB1~	,~~	,~~	,~0~	,~0~	,~TO REACHED TERMINAL~
~F021-1900RB1~	,~~	,~~	,~0~	,~0~	,~TO REACHED TERMINAL~
~F021-2000RB1~	,~~	,~~	,~0~	,~0~	,~TO REACHED TERMINAL~
